2022-10-05 13:25:34,856 INFO    MainThread:29348 [wandb_setup.py:_flush():68] Configure stats pid to 29348
2022-10-05 13:25:34,857 INFO    MainThread:29348 [wandb_setup.py:_flush():68] Loading settings from C:\Users\aswegen.d\.config\wandb\settings
2022-10-05 13:25:34,857 INFO    MainThread:29348 [wandb_setup.py:_flush():68] Loading settings from C:\Users\aswegen.d\Dropbox\0_Buas\BuasDev\TestClearML\wandb\settings
2022-10-05 13:25:34,857 INFO    MainThread:29348 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-05 13:25:34,857 INFO    MainThread:29348 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'WandBCartPoleDemo.py', 'program': 'c:\\Users\\aswegen.d\\Dropbox\\0_Buas\\BuasDev\\TestClearML\\WandBCartPoleDemo.py'}
2022-10-05 13:25:34,857 INFO    MainThread:29348 [wandb_setup.py:_flush():68] Applying login settings: {'api_key': '***REDACTED***'}
2022-10-05 13:25:34,857 INFO    MainThread:29348 [wandb_init.py:_log_setup():476] Logging user logs to C:\Users\aswegen.d\Dropbox\0_Buas\BuasDev\TestClearML\wandb\run-20221005_132534-z9bnw62d\logs\debug.log
2022-10-05 13:25:34,857 INFO    MainThread:29348 [wandb_init.py:_log_setup():477] Logging internal logs to C:\Users\aswegen.d\Dropbox\0_Buas\BuasDev\TestClearML\wandb\run-20221005_132534-z9bnw62d\logs\debug-internal.log
2022-10-05 13:25:34,857 INFO    MainThread:29348 [wandb_init.py:init():516] calling init triggers
2022-10-05 13:25:34,857 INFO    MainThread:29348 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'policy_type': 'MlpPolicy', 'total_timesteps': 250000, 'env_name': 'CartPole-v1'}
2022-10-05 13:25:34,857 INFO    MainThread:29348 [wandb_init.py:init():569] starting backend
2022-10-05 13:25:34,857 INFO    MainThread:29348 [wandb_init.py:init():573] setting up manager
2022-10-05 13:25:34,862 INFO    MainThread:29348 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn, using: spawn
2022-10-05 13:25:34,865 INFO    MainThread:29348 [wandb_init.py:init():580] backend started and connected
2022-10-05 13:25:34,866 INFO    MainThread:29348 [wandb_init.py:init():658] updated telemetry
2022-10-05 13:25:34,916 INFO    MainThread:29348 [wandb_init.py:init():692] communicating run to backend with 30 second timeout
2022-10-05 13:25:35,317 INFO    MainThread:29348 [wandb_run.py:_on_init():1974] communicating current version
2022-10-05 13:25:35,671 INFO    MainThread:29348 [wandb_run.py:_on_init():1978] got version response 
2022-10-05 13:25:35,671 INFO    MainThread:29348 [wandb_init.py:init():727] starting run threads in backend
2022-10-05 13:25:40,701 INFO    MainThread:29348 [wandb_run.py:_console_start():1954] atexit reg
2022-10-05 13:25:40,701 INFO    MainThread:29348 [wandb_run.py:_redirect():1812] redirect: SettingsConsole.WRAP_RAW
2022-10-05 13:25:40,701 INFO    MainThread:29348 [wandb_run.py:_redirect():1877] Wrapping output streams.
2022-10-05 13:25:40,701 INFO    MainThread:29348 [wandb_run.py:_redirect():1899] Redirects installed.
2022-10-05 13:25:40,702 INFO    MainThread:29348 [wandb_init.py:init():764] run started, returning control to user process
2022-10-05 13:25:49,171 WARNING MsgRouterThr:29348 [router.py:message_loop():77] message_loop has been closed
